2017-08-09 18:14:05.444444 PDT | [point_1] Populating workers...
2017-08-09 18:14:05.444692 PDT | [point_1] Populated
2017-08-09 18:14:05.444840 PDT | [point_1] itr #0 | Obtaining samples...
2017-08-09 18:16:03.026253 PDT | [point_1] itr #0 | Processing samples...
2017-08-09 18:16:03.043902 PDT | [point_1] itr #0 | fitting baseline...
2017-08-09 18:16:03.115838 PDT | [point_1] itr #0 | fitted
2017-08-09 18:16:03.268021 PDT | [point_1] itr #0 | Logging diagnostics...
2017-08-09 18:16:03.274065 PDT | [point_1] itr #0 | Optimizing policy...
2017-08-09 18:16:03.274339 PDT | [point_1] itr #0 | optimizing policy
2017-08-09 18:16:03.347043 PDT | [point_1] itr #0 | Saving snapshot...
2017-08-09 18:16:03.351158 PDT | [point_1] itr #0 | Saved
2017-08-09 18:16:03.351814 PDT | -----------------  --------------
2017-08-09 18:16:03.351969 PDT | TotalExecTime       117.58
2017-08-09 18:16:03.352127 PDT | AverageReturn         0.1
2017-08-09 18:16:03.352286 PDT | ExplainedVariance     0.0210262
2017-08-09 18:16:03.352490 PDT | NumTrajs           2000
2017-08-09 18:16:03.352664 PDT | Entropy               2.82159
2017-08-09 18:16:03.352791 PDT | Perplexity           16.8035
2017-08-09 18:16:03.352889 PDT | StdReturn             4.47102
2017-08-09 18:16:03.352985 PDT | MaxReturn           200
2017-08-09 18:16:03.353081 PDT | MinReturn             0
2017-08-09 18:16:03.353176 PDT | AveragePolicyStd      0.991891
2017-08-09 18:16:03.353271 PDT | LossBefore            0.00482538
2017-08-09 18:16:03.353381 PDT | LossAfter             0.00476101
2017-08-09 18:16:03.353477 PDT | MeanKL                3.74556e-05
2017-08-09 18:16:03.353580 PDT | MaxKL                 7.95047e-05
2017-08-09 18:16:03.353697 PDT | Time                117.906
2017-08-09 18:16:03.353798 PDT | ItrTime             117.906
2017-08-09 18:16:03.353897 PDT | -----------------  --------------
