2017-08-09 18:11:56.291775 PDT | [point_0] Populating workers...
2017-08-09 18:11:56.292072 PDT | [point_0] Populated
2017-08-09 18:11:56.292326 PDT | [point_0] itr #0 | Obtaining samples...
2017-08-09 18:13:53.338206 PDT | [point_0] itr #0 | Processing samples...
2017-08-09 18:13:53.360723 PDT | [point_0] itr #0 | fitting baseline...
2017-08-09 18:13:53.440818 PDT | [point_0] itr #0 | fitted
2017-08-09 18:13:53.585890 PDT | [point_0] itr #0 | Logging diagnostics...
2017-08-09 18:13:53.592439 PDT | [point_0] itr #0 | Optimizing policy...
2017-08-09 18:13:53.592605 PDT | [point_0] itr #0 | optimizing policy
2017-08-09 18:13:53.665298 PDT | [point_0] itr #0 | Saving snapshot...
2017-08-09 18:13:53.668567 PDT | [point_0] itr #0 | Saved
2017-08-09 18:13:53.669220 PDT | -----------------  --------------
2017-08-09 18:13:53.669388 PDT | TotalExecTime       117.045
2017-08-09 18:13:53.669558 PDT | AverageReturn         0.3
2017-08-09 18:13:53.669753 PDT | ExplainedVariance     0.0215564
2017-08-09 18:13:53.669871 PDT | NumTrajs           2000
2017-08-09 18:13:53.669968 PDT | Entropy               2.82159
2017-08-09 18:13:53.670063 PDT | Perplexity           16.8035
2017-08-09 18:13:53.670159 PDT | StdReturn             9.48209
2017-08-09 18:13:53.670255 PDT | MaxReturn           400
2017-08-09 18:13:53.670351 PDT | MinReturn             0
2017-08-09 18:13:53.670473 PDT | AveragePolicyStd      0.991891
2017-08-09 18:13:53.670570 PDT | LossBefore            0.00263791
2017-08-09 18:13:53.670665 PDT | LossAfter             0.00239352
2017-08-09 18:13:53.670761 PDT | MeanKL                0.000146348
2017-08-09 18:13:53.670855 PDT | MaxKL                 0.000516091
2017-08-09 18:13:53.670949 PDT | Time                117.376
2017-08-09 18:13:53.671054 PDT | ItrTime             117.376
2017-08-09 18:13:53.671176 PDT | -----------------  --------------
